ST,HeartAttackPCI,HeartFailureACE,HeartFailureDischarge,PneumoniaComposite,PneumoniaCultures,PneumoniaDose6Hrs,PneumoniaRightAntibiotic,PneumoniaInfluenza,PneumoniaPneumovax,SurgeryAntibioticTiming,SurgeryRightAntibiotic,SurgeryGlucoseControlled,SurgeryHairRemoved,SurgeryPreventClots,SurgeryBetaBlocker,SurgeryCatheterRemoved,SurgeryTemperature,AMIDeaths,CHFDeaths,AAARepairDeaths,CABGDeaths,PTCADeaths,PneumoniaDeaths,PSIBirthTrauma,PSIOBTraumaNoInstument,PSIOBTraumaInstrument,PSIPostopSepsis,PSIPneumothorax,PSILowMortDeaths
AL,93.6,94.2,88.8,94.6,96.9,96.2,91.5,92.5,94.6,96.9,98.1,94.8,99.8,95.3,95.5,92.3,99.4,,,,,,,,,,,,
AK,83.0,96.7,86.9,93.2,93.6,94.0,91.4,90.5,95.2,96.8,97.5,96.4,99.8,90.5,92.7,94.0,99.6,,,,,,,,,,,,
AZ,88.0,95.1,86.2,93.4,95.3,94.6,92.6,91.0,92.5,96.2,97.6,94.5,99.7,93.4,93.4,89.5,98.6,39.8,12.4,38.1,19.7,11.2,17.7,1.4,20.7,139.9,19.9,1.5,0.41
AR,89.5,94.0,90.5,93.8,96.3,96.3,90.8,90.9,93.5,95.9,97.0,93.8,99.4,95.6,93.7,88.9,98.8,70.1,30.4,64.5,32.9,12.9,36.6,2.1,23.2,122.8,12.3,1.1,0.46
CA,92.1,95.1,91.9,94.4,95.7,95.6,93.7,92.2,94.0,95.8,97.2,94.0,99.6,93.2,93.8,90.3,98.9,55.3,21.5,40.6,20.3,12.7,28.0,1.8,20.9,119.1,16.1,1.3,0.41
CO,93.4,96.7,88.5,93.5,96.7,96.8,92.6,88.4,90.9,96.6,97.9,91.8,99.5,94.5,93.5,89.9,99.7,52.5,20.3,31.1,15.8,11.9,18.5,2.2,19.3,152.9,15.0,1.9,
CT,89.5,93.2,86.4,94.6,96.1,96.0,94.1,91.1,94.5,96.5,97.1,92.3,99.4,97.0,93.2,91.1,98.9,52.6,24.1,45.2,22.0,12.5,23.8,3.4,31.5,178.5,10.7,1.3,0.28
DE,92.7,94.5,93.3,92.7,94.1,94.1,90.3,90.5,93.1,97.6,98.8,95.4,100.0,96.2,96.1,94.7,99.2,,,,,,,,,,,,
DC,86.5,89.3,76.8,83.0,89.5,88.9,90.5,71.4,74.0,94.0,94.7,93.6,99.3,96.2,90.1,90.1,97.7,,,,,,,,,,,,
FL,92.4,96.5,92.0,96.1,96.8,95.9,95.1,95.3,96.7,97.2,97.8,95.1,99.7,96.2,95.5,91.7,99.6,45.8,18.9,52.5,21.4,11.8,24.1,2.2,20.4,106.5,16.7,1.2,0.34
GA,90.5,94.6,87.0,94.7,96.4,95.2,92.7,93.3,95.0,96.1,97.5,93.4,99.6,94.4,93.0,90.5,98.8,50.4,19.5,42.9,23.8,11.5,26.6,2.3,23.6,141.3,16.3,1.4,0.65
HI,91.7,95.0,90.1,91.7,94.1,96.9,93.2,86.0,87.1,95.3,97.8,90.2,99.2,88.4,91.2,87.3,99.6,52.8,32.4,,36.9,13.3,37.7,3.7,30.6,180.0,16.4,1.5,0.69
ID,93.2,95.4,87.6,94.2,97.0,96.8,93.4,90.7,92.0,94.9,97.4,95.8,99.1,93.9,90.4,89.3,99.0,,,,,,,,,,,,
IL,92.1,95.1,90.7,94.4,97.0,96.2,91.1,92.0,93.4,96.4,97.4,92.9,99.7,94.9,94.3,90.6,98.8,48.5,20.9,42.0,20.0,11.5,25.6,1.9,19.2,142.1,16.6,1.0,0.33
IN,91.9,94.1,87.1,94.5,95.9,96.6,90.9,92.9,94.5,96.6,97.9,94.1,99.8,94.1,94.0,92.1,99.0,55.2,21.9,42.9,20.4,11.8,26.0,1.9,20.8,145.3,15.8,1.2,
IA,92.2,93.5,87.1,94.4,96.9,96.9,92.4,91.6,93.1,96.5,98.0,90.7,99.7,93.3,95.4,91.5,99.3,48.7,25.5,47.0,27.3,12.9,25.8,2.8,23.5,159.4,11.4,1.1,0.43
KS,91.9,93.4,85.0,91.2,96.6,95.4,87.0,88.2,88.3,95.8,97.7,92.9,99.8,92.1,91.5,88.5,99.4,55.1,29.2,55.7,27.9,9.8,32.1,1.7,25.1,178.1,10.9,1.4,0.41
KY,88.5,91.5,83.6,93.7,95.4,95.3,90.2,92.3,93.9,96.0,97.8,94.4,99.4,94.0,93.8,90.2,99.1,57.0,25.4,41.3,20.4,13.6,30.5,1.7,22.2,125.6,19.1,1.4,0.62
LA,84.8,93.2,87.3,92.5,95.4,94.3,90.2,89.7,91.4,95.7,97.0,90.3,99.4,93.9,94.0,88.7,99.0,77.9,36.8,44.9,27.9,17.5,42.9,2.2,20.4,114.3,14.3,0.9,0.67
ME,97.5,96.6,93.8,96.6,95.8,98.1,94.9,96.2,97.3,98.0,98.4,95.5,99.7,97.1,95.9,93.0,99.1,49.2,27.9,43.5,23.7,10.0,34.0,2.2,25.5,129.8,14.6,1.0,
